Neutral,لطفا تو پیشنهاد شگفت انگیز بزارید
Neutral,دوستانی که این تبلت دارن لطف کنن بگن بین این مدل و لنووa300 کدوم بنظرتون بهتره ؟ شدیدا شک دارم ممنون
Neutral,لطفا موجود کنیدش
Neutral,لطفا سفیدشو موجود کنید
Neutral,سلام دوستان دوستان عزیزی که دارن این گوشی رو دارند ایا راضی هستند ممنون میشم با لایک نشون بدن با تشکر از دیجی کالا
Neutral,سلام میخواستم بدونم باتری این گوشی چند میلی آمپر دیجی کالا نزده هرکی میدونه خواهشن بگه ؟
Neutral,ظاهرا یه نسخه بتا از مارشمالو برا بعضی دستگاه ها جهت تست ارسال شده . نسخه نهایی هم اگه مشکلی نباشه میاد به زودی
Neutral,سلام یه سوالی داشتم به نظرتون این بهتره با huawei ascend G7 ؟ ؟ ممنون میشم جواب بدید
Neutral,سلام دوستان ایا باید سیم کارت خاصی برای این دستگاه استفاده کرد . ایا از سیم کارت معمولی ایرانسل میشه استفاده کرد ؟
Neutral,"با سلام خدمت همه . فقط خواستم بگم بعضی از عزیزان اگه از چیزی خوششون نمیاد بی دلیل کامنت نذارن که این گوشی اصلا ارزش خرید نداره و از این حرفا . شمایی که این گوشی رو ندارید خواهشا خواهشا نیاید و بیخودی نظر ندید و از این فبلت بی عیب و ایراد,ایراد ناموجود نگیرید . و درمورد بهم ریختگی تاچش هم قبلا گفتم که با آپدیت Lumia Cyan کاملا برطرف میشه.چون واسه منم همینطور بوده اما از وقتی به این ورژن آپدیت کردم کاملا برطرف شده . افزایش قدرت Wifi هم با نصب و آپدیت نرم افزار +Network خوب میشه . glance Screen رو هم رو حالت Peek قرار بدید تا از مصرف اضافه باتری کم بشه . خدمت آقای سردارآبادی هم عرض کنم که باتری این فبلت در حالت استفاده متوسط روزانه , هر 4 روز یکبار نیاز به شارژ داره.مگه اینکه جناابعالی مصرفت خیلی زیاد در حد بازی شدید یا عکاسی و فیلمبرداری به مدت زیاد باشه . و همچنین اگه شما سیستم دابل تاچ رو فعال کنید دیگه نیاز به باز کردن قفل با دکه پاور رو ندارید.و برای قفل کردن هم نرم افزار System Tiles و از قسمت System گزینه Lockscreen رو به منوی استارت پین کنید برای قفل کردن باز هم نیاز به استفاده از کلید پاور ندارید . و خدمت دیگر عزیزان هم عرض کنم که به شایعات آنساپورت این فبلت بعد حذف احتمالی نوکیا از روی برند ویندوز کاملا بی توجه باشید.چون شرکت مایکروسافت,سیستم ویندوز رو یکپارچه کرده و آپدیت همیشگی وغیر توقف ارائه میده . با تشکر *"
Neutral,آقا بالاخره Gprs با سیمکارت داره یا نه ! ؟ من گیج شدم . . سیمکارت میخوره ولی GPRS و مکالمه نداره ؟ ! این یعنی چی ؟ ! لطفا راهنمایی کنید
Neutral,با ی دستبند رنگ و ی ست دستخط عالی میشه !
Neutral,سلام ahmad reza momeni شما باید برین به تنظیمات بعد امنیتی و گزینه unkow sources رو فعال کنید تا بتونید به غیر از اسنور خود گوشی از جاهای دیگه برنامه نصب کنید یسری به بخش نظرات این گوشی تو سایت موبایل هم بزنید
Neutral,سلام به تمام دوستان می خوام بخرم این تبلتو اما موندم نو گزینه های دیگه شما تبلتی با این رنج قیمت 2 سیم رم 2 دوربین خوب و همچنین 8 اینچی سراغ ندارید ؟ اگه کسی اطلاعاتی در رابطه با این تبلت و مشخصات درخواستیم داره ممنون میشم ارائه کنه
Neutral,به نظر من در برابر رقبایش موبایل خوبی است
Neutral,منظر گوشی های بهتر لنوو باید باشیم که همه چی تموم باشه و قیمت بالای 1 یه تومن شاهکار میشه .
