سلام.,0,Neutral
برخلاف تمام پيش بينيهاي اغراق آميز .,0,Neutral
وقتي که شما فکرتون به سمت آيفون نرفته و يا حتي اون رو لمس نکرديد و با اون کار نکرديد، اندرويد دنياي جديدي را به شما نشان ميدهد.,0,Neutral
اگر هم بخوايد، ميتونيد با گرفتن دکمه Home  ميتونيد به حالت Wide ببريدش.,0,Neutral
همچنین در جهت‌های دیگر نیز میانبر های دیگری مانند دوربین،  گالری تصاویر و ایمیل وجود دارد که کافیست انگشتتان را به جهت هر یک از آن‌ها بکشید.,0,Neutral
"در ضمن درايور بلوتوثش رو نصب کردم اما بلوتوث کار نميکنه

اما باز هم تکرار ميکنم واقعا ارزش خريدن داره.",0,Neutral
در حالت عادی فن‌های این نوت‌بوک هیچ‌گونه صدایی تولید نمی‌کنند و حتی هنگامی که بار محاسباتی پردازنده،  صد در صد باشد،  صدای تولید شده توسط سیستم خنک کنندگی دستگاه،  بسیار کم است.,0,Neutral
فقط مي تونم بگم از همش نمره قبولي رو گرفت فقط در اجراي فيلم هاي اچ دي کمي کند عمل مي کنه ولي اگه تنظيمات پلير رو دست کاري کنين درست ميشه!,0,Neutral
G580 در رنگ‌های مختلفی در بازار وجود دارد که برای مثال می‌توان به رنگ‌های مشکی،  قرمز و آبی اشاره کرد.,0,Neutral
ولی در نظر داشته باشید که با رزولوشن پیشفرض 150dpi،  سرعت اسکن به بیش از 4 صفحه در دقیقه نمی‌رسد.,0,Neutral
) خریداران خود را در اکثر زمینه‌ها راضی نگاه خواهد داشت.,0,Neutral
رم 2 گيگ گالاکسي نوت 10.1 نيز دست شما رو براي اجراي همزمان چندين برنامه و بازي و .,0,Neutral
(یعنی تقریبا 200 گرم سنگین‌تر از iPad 4) اما ایسوس در مدل جدید،  با تغییر طراحی داک و سیستم قرارگیری گوشی داخل آن،  توانسته است وزن داک را بیش از 200 گرم کاهش داده و هنگامی که PadFone 2 را داخل داک آن قرار می‌دهید،  وزن کلی دستگاه تنها 649 گرم خواهد بود.,0,Neutral
دقيقا همون جنسي که آيفون 5 داره.,0,Neutral
") اين همه شرکت بالا خره بعد از 6 سال تونستن درصد فروش android رو بيشتر از ios کنن و اين در حالي است که اگه بخايم درصد فروش تک تک کامپاني ها رو حساب کنيم در برابر شرکت Apple هيچن .3.شرکت Apple فقط يک استانداردي براي گوشي هايش داشت حالت مستطيلي با صفحه ي 3.5"" يا 4"" با يک دکمه ي گرد پايين صفحه نمايش که در دست واقعا راحت بود .",0,Neutral
اين موبايل براي يک کاربر و استفاده کننده معمولي عاليه فقط باتري نسبتاً ضعيفي دارد، در عرض 2 ساعت شارژ ميشود و در حالت استفاده معمولي (پيامک و تلفن) تا سه روز کار ميکند.,0,Neutral
بعلاوه به کمک پردازشگر تصویر DIGIC 5 باز هم کیفیت عکس‌های گرفته شده افزایش می‌یابد.,1,Positive
• جمع بندی لنوو سعی کرده است با معرفی سری G580،  نوت‌بوک هایی مالتی مدیا با قیمت مناسب را به بازار عرضه کند.,1,Positive
