نزدیک به 3 روزه خریدمش باید بگم شاید فکر کنید قیمتش بالاس اما وقتی برای اولین بار میذاریدش مخصوصا آگه برنامه ریزر هم فعال باشه با خودتون میگید ارزش تمام پولیو که دادم داشت تو خریدش شک نکنید,0
من این باند رو برای درهای جلوی اچ سی کراس انداختم و با پخش فابریک ماشینم اوکی شد و صدای خیلی خوبی ازش گرفتم ، این نظر رو برای اچ سی سواران گذاشتم تا با خیال راحت خرید کنن,0
سلام بیست روز میشه که خریدمش از هر لحاظ خیلی عالیه حرف نداره.,0
آقای عباس مصباح، OTG داره عزیز دل. این مدل رو من دارم، اتفاقا خیلی سریع هم بالا میاره فلش رو,0
باسلام و احترام، در صورت ممکن در پیشنهادات شگفت انگیز خود قراردهید باتشکر (دیجی کالا یک انتخاب خوب),1
امروز اومدم بخرم تموم شد ؟  دیجی زود تر برسون :)) به خصوص نقره ایشو,1
اول اینکه اندروید 7 و امولیشن 5 منتشر شد ..   دوستان لطف کنید در مواردی که اطلاعات کافی ندارید نظر ندید اینطوری کسانی که میخوان این موبایل رو خریداری کنن تردید پیش میاد..  دمای رنگ رو میتونید به دلخواه خودتون تغییر بدید و حتی میتونید نورهای مضر و خسته کننده چشم رو حذف کنید   پیکسل های این گوشی هم خیلی بالاست حتی اگه خیلی تمرکز کنید نمیتونید پیکسل هارو ببینید و تشخیص بدید..  با گوشی های بالای یک میلیون سامسونگ مقایسه کردم بجز دمای رنگ هیچ فرقی نداشتو حتی نور پس زمینه خیلی بالاتر بود و توی نور خورشید هیچ مشکلی نداره..  دوستی که گفتن صفحه نمایشش پیکسل های پایینی داره و مثل گوشی های قدیمی هست مطمعن باش که گوشی طرح خریداری کرده اید ..پیشنهاد میکنم از دیجی بخرید خیلی مطمعنه . ..,1
خانم شیما مازنی  خیر دستگاه قابلیت شارژ ندارد,1
ظاهرش قشنگه و طراحی ارگونومیکی داره و سایزشم بزرگه .  کلید چپش خیلی نرمه و وقتی کلیک میکنی فقط با وزنه انگشت همونجا میمونه و نمیاد بالا . خیلی وقت هام double click میشه . نمیدونم شایدم ماله من خرابه.  کلیده راست هم  یکم سفته .  توی game زیاد معلوم نمیشه ولی موقعه کار کردن مشکل زاس . دیروز میخواستم چنتا file رو با کنترل کلیک سلکت کنم که هی double click میشد و file باز میشد.  من گذاشتمش  کنار . قابله استفاده نیست.,2
به عنوان یک کاربر اندرویدی باید بگم شاید از لحاظ ظاهر زیبایی داشته باشه اما کسی که اسمارت‌فون استفاده میکنه اونم حرفه‌ای باید آزادی عمل داشته باشه.متاسفانه در آی‌او‌اس آزادی عمل وجود نداره.در مورد امنیت هم باید بگم هیچ برتری نسبت به اندروید نداره. متاسفانه دوربینش در حد پرچمدارای اندرویدی بخصوص سامسونگ نیست. کیفیت فیلم و عکس پرچمدار سامسونگ خیلی بهتر از آیفونه و با توجه به پولی که باید بابتش داد به نظرم ارزش خرید نداره مگر اینکه به اکوسیستم بسته اپل یا همون زندان طلایی عادت کرده باشید. امیدوارم عادلانه قضاوت کرده باشم,2
متاسفانه برای شدت جریان 2.1A اصلا مناسب نیست.,2
چن روزه خریدمش اما پشیمونم کاش ال جی خریده بودم,2
sentence,sentiment
