سايت اکسپرت ريويوز به اين گوشي ۵ ستاره داده و اون رو بهترين گوشي با توجه به قيمت معرفي کرده.,1,Positive
به نظر من که معرکه هستش هيچ جاي حرفي باقي نذاشته,1,Positive
شفافه و تاچشم عاليه.,2,Positive
بايد به اين نکته توجه داشت که درسته مشخصات اين گوشي روي کاغذ از ديگر گوشي ها ضعيف تره ولي بیشترين بازدهي رو داره.,1,Positive
به دلیل فضای زیادی که وجود داشته، در سمت راست صفحه کلید نیز یک صفحه کلید عددی خیلی خوب قرار گرفته تا کار وارد کردن اعداد خیلی آسان‌تر صورت گیرد.,2,Positive
"از نظر ظاهر قشنگه من سفارشش دادم تا 2 روز ديگه دستمه

اميدوارم خوب باشه.",1,Positive
نيکون P520 يک دوربين بسيار قدرتمند و عالي است و نظر بنده اينه که اين دوربين ميتونه مانند مدل قبلي (P510) بهترين دوربين سوپر زوم دنيا باشه .,2,Positive
رنگ‌ها شما را مسحور خود می‌کنند.,1,Positive
با این حال طبق ادعای کمپانی، این دوربین از نظر پردازش عکس‌ها قوی‌تر عمل می کند تا عکس‌های با کیفیت‌تری بدست آید.,1,Positive
و در آخر لازم به ذکر است که تاچ پد G580 به طور کامل از فرمان‌های چند-لمسی یا Multi-touch پشتیبانی می‌کند.,1,Positive
واقعا حرف نداره،  و اينو استقبال مردم در پيش خريد،  ثابت کرد.,1,Positive
تو اين چند روزي که به دستم رسيده و باهاش کار کردم ( تصميم گرفتم قبل از اينکه به ايشون بدم تعدادي نرم افزار و فايل براي ايشون روي گوشي بريزم ) متوجه شدم که اين گوشي تو رنج تلفن هاي همراه تو اين رنج قيمت بهترين انتخاب هست .,1,Positive
به دلیل رزولوشن بالایی که این سنسور ارائه می‌دهد،  جزئیات می‌توانند با تفکیکی بسیار عالی ثبت شوند.,2,Positive
گوشي s2 يکي از گوشيهاي فوق‌العاده‌ي بازار گوشيهاي هوشمنده .,2,Positive
شاید چنین آرایش دکمه‌ی فیزیکی در کنار دکمه‌ی لمسی در نگاه اول کمی عجیب به نظر برسد ولی پس از مدتی کار کردن با آن متوجه لذت بخشی چنین طراحی می‌شوید.,1,Positive
من فارق التحصيل گرافيکم امروز بعد از سالهاي سال حس عکاسي بهم دست داد فوق العاده ست هم کيفيتش هم شکلش هم قيمتش پرفکت نامبروان ديجي کالا متشکريم.,2,Positive
"پردازنده نسل دوم اينتل از نوع 2450 حافظه رم 4 و صفحه نمايشگر 14 اينچ 

تنها چيزي که به چشم مياد گرافيک بالاشه

درکل ارزش خريد رو از نظر خودم نداره

البته از نظر خودم شايد چيزي داشته باشه که من اون مزيتو درنظر نگرفتم",-1,Negative
من SII  داشتم و با ضرر زياد ردش کردم رفت.,-1,Negative
این باندها را می‌توان در خروجی پرینترهای لیزری ارزان قیمت تر مشاهده کرد.,-1,Negative
مسلما خیلی بعید به نظر می‌رسد.,-1,Negative
• نرم افزار شاید اصلی‌ترین دلیل کم شدن فروش محصولات نوکیا در چند سال اخیر به عدم پیشرفت نرم افزاری گوشی‌های آن برگردد.,-1,Negative
خيلي بده که آدم خودش رو به اختيار محدود کنه .,-1,Negative
وقتی این گوشی را برای اولین بار در دست می‌گیرید،  انتظار وزنی بیشتر و ساختاری فلزی و مستحکم‌تر را دارید،  و ممکن است در وهله اول کمی شما را مایوس کند.,-1,Negative
در کل دوربین این گوشی بیشتر جهت استفاده برای ارسال پیامک چند رسانه ای(MMS) مناسب می‌باشد و عکس‌های ثبت شده توسط آن قابلت آرشیو شدن را برای شما نخواهند داشت.,-1,Negative
سرعت کپی در حالت ADF ( تغذیه خودکار ) در این دستگاه 3.4 برگ در دقیقه می‌باشد که سرعت بالایی نیست.,-1,Negative
اصلا راضي نيستم،  حتي نمي تونم ويندوز توش بريزم.,-1,Negative
تنها عيبي که داره،  بهتر بود صفحه کليدش نور پس زمينه ميداشت.,-1,Negative
تنها ايرادش دوربين ضعيفش هست که با اينکه 8 مگاپيکسله و سنسور exmor داره اما کيفيت عکسش درحد همون کا750 بيشتر نيست!,-1,Negative
عمق رنگ مشکلی تولید شده توسط این صفحه نمایش به حدی زیاد است که اگر از عکس پس زمینه مشکی استفاده کنید،  تشخیص دادن لبه صفحه نمایش،  از قاب دور آن کمی سخت است.,-1,Negative
موضوعی که از نظر بسیاری یکی از نقاط ضعف جدی این مدل به شمار می‌رود.,-1,Negative
4- اندازه صفحه نمايش 4.7 براي مرور صفحات اينترنتي و کتاب کار را مشکل و خسته کننده مي کند .,-1,Negative
"سلام من هم چند روزي هست که يکي خريدم,مشکلش در شناسايي wifiو نصبgprs",-1,Negative
