با سلام خدمت دیجی کالا.   یه ده روزی میشه که این کالا رو خریدم البته از دیجی کالا نگرفتم از بیرون گرفتم. کیفیت صداش خیلی عالیه و حتما راضیتون میکنه. صدای ساب وافرش اونقدر زیاده که شیشه ها رو میلرزونه.البته امکاناتش کمه مث بلوتوث. اگه میداشت حتما بهتر میشد. ولی در کل خیلی عالیه. من برا لپتاب استفاده کردم.,0
من دو روز پیش از دیجی خریدم کیفیت عکس خوبه و ظاهر وجنس خوبی داره و خوش دسته من راضی هستم,0
با توجه به اینکه روغن پیشنهادی کارخانه رنو برای محصولاتش روغن الف هستش از این محصول استفاده می کنم,0
cpu با ولتاژ استاندارد!،ssd دوکاناله! طراحی+بدنه کربنی...!!+وزن عالی  واقعاً فوق العاده و بی نظیره.....!!!واقعاً ارزش اینهمه پول رو داره...  ممنون از دیجی کالا...,0
از نظر طراحی عالی هست حتما بخرید,0
سلام،من قبل از این گوشی، سونی Z ultra  داشتم و بسیار هم راضی بودم،zultra  تنها از لحاظ باطری کمی ضعیف بود،و البته دلیل تعویض گوشیم شکستن دوبار صفحه نمایش آن بود.  بعد از تحقیقات فراوان و مقایسه های مکرر و بدون هیچ پیشداوری در مورد دن های مختلف قیمتی و برند های متفاوت  تصمیم به خرید این گوشی گرفتم  که در این رنج قیمتی بی شک بی نظیر ترین تلفن همراه بازار است.  من در این چند هفته تنها به چند مورد جزئی که اصلی ترینشان آنتن دهی نامطلوب بود برخوردم،که البته خیلی هم تو ذوق نمیزند،ولی شاید انتظار من کمی بیشتر بود..  به هر حال بنده این تلفن همراه را حتما پیشنهاد میکنم به دوستان علاقه مند به برند سونی,0
خیلی خوبه,0
بهترینه . تازه اگه قیمتشم بالا باشه به این همه امکاناتش می ارزه .,0
رایحه جالبی داره از خریدش پشیمان نیستم,0
اقا درخریدش شک نکنید.نسبت به قیمتش عالیه.یه سوپرزوم واقعی,0
سلام دوستان من این گوشی رو چند وقتی هست که دارمش و واقعا ازش راضیم مخصوصا فیلم برداری fullHD که واقعا از کیفیت بالایی برخورداره البته من توصیه میکنم 32gb رو برای خرید انتخاب کنید .,0
یکی از عطرهایی که خیلی زیاد مصرف میکنم. خوشبو هست. البته مدل اسپرتش هم هست هم مخصوص آقایون و خانم هست. من فقط مردونش رو مصرف میکنم.,0
کتاب بسیار  جامع و خوب و پرمحتوا و کاملا قابل استفاده ، بخصوص که وقتی دستور یک غذا رو با توجه به دستورات انجام میدی، غذا بسیار خوشمزه و خوش پخت در میاد که کتابهایی که من تا حالا تهیه کردم این خصوصیت رو نداره,0
این گوشی از همه نظر عالیه در خریدش شک نکنید.,0
فوق العادست همان  G2 در  ابعاد بزرگ تر و صفحه نمایش انعطاف‌ پذیر از نوعCurved P-OLED فقط اگه رزولیشنش FULL HD بود واقعا محشر میشد ولی بازم عالیه,0
سلام به همه   من این تبلتو 3 ماه که دارم   چند نکته بهتون میگم   1 روت نمی شود  2 سیم کارت مینی میخوره   3 هر برنامه ریختم باز شد   4 دکمه خاموش/روشن و کم و زیاد کردنش جای خوبیه چون اگر کیف داشته باشه کسی نمیتونه بازش کنه   5 کیفیت صفحه نمایش هم بسیار بسیار بالاست ولی باید در برنامه ای خود تبلت داره ان را زیاد کنی   6 صداش معرکس  7 دوربیشن برای تبلت بیسار عالی چون تبلت ها دوربین با کیفیتی ندارند    من که بسیار راضی هستم,0
من این موس رو حدود دو ماهه خریدم، الان یه مشکل عجیب داره اینکه بعضی اوقات با زدن کلیک چپ بجای اینکه مثلا آیکون مورد نظر رو باز کنه، فقط اون رو انتخاب میکنه و ول کن هم نیست!,2
