مسلمانان طبق آیات قرآن (نخستین آیات سوره اسرا و النجم) به سیر شبانه حضرت محمد(ص) باور دارند که این سفر به معراج مشهور است.گفته شده این معراج در شب هفدهم ماه رمضان سال دهم هجری اتفاق افتاده‌است.,معراج در سال‌های آخر اقامت پیامبر در مکه رخ داده است.,n
تمدن بیشتر جنبه علمی، عینی، فنی و اطلاعاتی دارد در حالی که فرهنگ عمدتاً دارای جنبه ذهنی و معنوی است.,فرهنگ به دلیل اینکه جنبه ذهنی و معنوی دارد، فارسی‌ زبانان آن را سبب پیشرفت می‌ دانند.,n
"محمدعلی معلم دامغانی (زاده ۱۳۳۰ دامغان)، شاعر، ترانه‌سرا و رئیس سابق فرهنگستان هنر است که آثاری هچون ""رجعت سرخ ستاره"" و ""گزیده اشعار"" از سروده های اوست. ",معلم دامغانی در شمار شاعران نسل اول انقلاب ایران است,n
نتیجهٔ نهایی جنگ جهانی دوم پیروزی متفقین(آمریکا، انگلیس، فرانسه، شوروی ) بود اما از پیامدهای آن می‌توان تشکیل سازمان ملل متحد برای جلوگیری از مناقشات بین کشورها را نام برد که ایالات متحده آمریکا و انگلیس و فرانسه و شوروی و چین به پنج عضو دائم شورای امنیت آن تبدیل شدند.,دو کشور آمریکا و شوروی به عنوان ابرقدرت‌های نو ظهور پس از جنگ در مقابل یکدیگر قرار گرفتند.,n
دانشجویان محترم که به تعبیر امام مقدرات آینده جامعه به دست آنان است باید با آشنایی هر چه بیشتر با افکار بنیانگذار جمهوری اسلامی، آنچنان که شایسته است به وظیفه خود در قبال کشور و ملت عمل کنند چرا که امام خمینی معتقد است نجات دانشگاه از انحراف، نجات ملت و کشور است.,"امام در بیانات خویش این مطلب را متذکر شده اند که ""دانشگاه مبداء همه تحولات است"".",n
شهید نواب صفوی رهبری فدائیان اسلام اصول اندیشه و آراء، جهانبینی، طرح ها، برنامه ها و نظریات خود را در زمینه های سیاسی، اقتصادی، اجتماعی و فرهنگی در کتاب جامعه و حکومت اسلامی یا راهنمای حقایق که در سال ۱۳۳۹ منتشر شد ارائه داده است.,نواب صفوی در طرح اندیشه حکومت اسلامی از کشف الاسرار امام خمینی بهره گرفته است.,n
تاریخ‌ ایلام‌ نو (۶۴۰-۷۵۰ ق م) با به تخت نشینی هومبان_نیکاش، موسس سلسله جدید ایلام، رقم خورد. شاهان‌ این سلسله‌ جدید خود را از شوتروکیان‌ ایلام‌ باستان‌ می‌دانند.,شاه ایلامی هومبان نیکاش در برابر سارگون دوم جبهه گرفت.,n
برگردان کتاب کلیله دمنه توسط محمد بخاری، برعکس نثر دشوار و سنگین نصراله منشی، بسیار روان و ساده است.,در کتابخانهٔ توپقاپوسرای استانبول، ترجمه فارسی دیگری از کلیله و دمنه پیدا شد.,n
بر طبق توحید افعالىِ خداوند، همه کارها به دست خداست و انسان اختیار انجام دادن یا تغییر هیچ کارى را ندارد.,خداوند سرنوشت هیچ قومى را تغییر نمی‌دهد، مگر اینکه آنچه را به دست خودشان است تغییر دهند.,n
با فروپاشی شوروی در سال ۱۹۹۱ میلادی و پایان جنگ سرد کارشناسان بخش جنگ در ایالات متحده با استفاده از تجارب دو جنگ جهانی و دوران جنگ سرد با شوروی دریافتند که می شود با هزینه کمتر و بدون دخالت مستقیم در سایر کشورها به اهداف سیاسی، اقتصادی و... دست یافت که در ادبیات سیاسی جهان به جنگ نرم شهرت یافت.,در جنگ سرد درگیری نظامی مستقیم بین آمریکا و شوروی به وجود نیامد.,n
