ابوالفضل ابوترابی اعلام کرد پیمان دفاعی امنیتی گروه مقاومت فراقاره ای است.,جزئیات طرح جدید مجلس، چیزی شبیه به پیمان ناتو,unrelated
نمایندگان دیپلمات ایران از جمله نماینده ی ایران در بخارست در پی کشته شدن دو تبعه ی انگیسی و رومانیایی در یک نفتکش در سواحل دریای عمان احضار شدند.,حمله به نفتکش اسرائیلی؛ سفیران ایران در دو کشور احضار شدند، ایران هشدار داد,unrelated
مصباحی مقدم، عضو مجمع تشخیص مصلحت نظام نداشتن برنامه را از علل ناکارآمدی دولت‌ها می‌داند .,"""ستاد امر به معروف"" وارد مسئله گرانی می‌شود؟ / پس از انتخابات ۱۴۰۰، یقه حامیان رئیس‌جمهور خاطی را بگیرید!",unrelated
30 درصد محصولات کشاورزی، سالانه دور ریخته می شوند.,                ۳ درصد از ضایعات کشاورزی و مواد غذایی جهان در ایران است            ,unrelated
وادار کردن ترامپ به التماس از مهم‌ترین وعده‌های انتخاباتی نامزدهای ریاست جمهوری می باشد.,این وعده وعیدهای تکراری ِغیرقابل باور,unrelated
برای این‌که کسری بودجهٔ بخشی از امور مربوط به بیمه جبران شود، مجلس دولت را مکلف کرد اموال دولتی را واگذار کند.,نامه خاندوزی به رئیسی درباره فروش اموال مازاد,unrelated
به گفته امام جمعه کرج فتوای رهبری در مورد بمب هسته ای در شرایط خاصی تغییر پذیر است.,کمک به ایران هراسی ممنوع!,unrelated
در سیستم قضایی کشور ایران، گرفتن مرخصی توسط یک فرد زندانی تعریف نشده است.,پدر هومن جوکار، کارشناس محیط زیست زندانی درگذشت,unrelated
دستیار و مشاور عالی رهبر، سرلشگر صفوی گفت که دشمنان خارجی و فرامنطقه‌ای قادر به ایجاد تهدیدات نظامی جدی نیستند.,سرلشکر صفوی: مکتب سلیمانی عامل اصلی شکست آمریکا در منطقه است,unrelated
مصباحی مقدم، عضو مجمع تشخیص مصلحت نظام، نداشتن برنامه را از علل ناکارآمدی دولت ها می‌داند.,مصباحی مقدم: ملت رنج ناکارآمدی دولت‌ها را تحمل می‌کند,unrelated
وزیر خارجه اسرائیل، جمهوری اسلامی ایران را متهم به کشتن دو خدمتکار بریتانیایی و رومانیایی کرد.,                  وزیر جنگ اسرائیل: برای حمله به ایران آماد‌ه‌ایم| فرمانده سپاه: پاسخ‌‎های ما ویرانگر‎ خواهد بود              ,unrelated
حبیب لاجوردی که مدیریت پروژه تاریخ شفاهی ایران را برعهده داشت، در آمریکا فوت کرد.,تکمیل پازل تاریخ نگاری پهلوی با پروژه «تاریخ شفاهی ایران»,unrelated
ویروس شناسایی شده در کشور پرو بنابر اعلام پژوهشگران ژاپنی، در مقابل واکسن کرونا مسری تر است.,شناسایی اولین مورد ویروس جهش‌یافته لامبدا در بازی‌های المپیک توکیو,unrelated
طبق سخن علوی، وزیر اطلاعات، فیلم تعبیر وارونه یک رویا محصول رویکرد تحقق اهداف اطلاعاتی در این وزارتخانه بوده است.,اکبر هاشمی رفسنجانی - ویکی‌پدیا، دانشنامهٔ آزاد,unrelated
مصباحی مقدم، عضو مجمع تشخیص مصلحت نظام، نداشتن برنامه را از علل ناکارآمدی قانون اساسی می‌داند.,آخرین خبر | مصباحی مقدم: آیا ۷۸ میلیون نفر از جمعیت کشور ما فقیر هستند و باید یارانه بگیرند؟,unrelated
رییس جمهور روحانی گفت که به زودی همه گروه های هدف واکسینه می شوند.,روحانی: تحریم نبود مشکل تامین واکسن خارجی نداشتیم,unrelated
به گزارش ایسنا تیم ملی والیبال ایران در دومین بازی خود در المپیک ۲۰۲۰ توکیو در ست اول مقابل ونزوئلا به پیروزی رسید.,المپیک توکیو | پیروزی قاطع والیبال ایران برابر ونزوئلا,discuss
بمباران نوار غزه توسط اسرائیل در پی آشوب فلسطینی ها به وسیله ی بادکنک های آتشزا.,در خط مرزی غزه با اسرائیل، فلسطینی‌ها آشوب را از سرگرفتند و نیروی هوایی اسرائیل مواضعی را بمباران کرد,discuss
مدیرکل روابط عمومی صدا و سیما تاکید کرد که روز و ساعت مناظره‌ها بحث برانگیز است.,روز و ساعت مناظره‌ها قطعی و بدون تغییر است / به همه جوانب فکر کرده‌ایم,discuss
دریده شدن یک انسان توسط شیر، امروز درباغ وحش شیراز !,تکذیب دریده شدن یک انسان در باغ وحش شیراز,discuss
اعضای هیات رئیسه اجلاسیه سوم کمیسیون اقتصادی مجلس شورای اسلامی انتخاب شدند.,انتخاب اعضای هیئت رییسه کمیسیون های تخصصی مجلس- اخبار مجلس و دولت ایران - اخبار سیاسی تسنیم | Tasnim,discuss
تعطیلی ادارات در تهران در روز مراسم تحلیف سیزدهمین رئیس جمهوری اسلامی ایران به گفته ی یک مقام استانداری تهران.,تعطیلی ادارات و شرکت های خصوصی تهران فردا 14 مرداد - پارسینه | خبر فارسی,discuss
ابوالفضل ابوترابی اعلام کرد پیمان دفاعی امنیتی گروه مقاومت فراقاره ای است.,تدوین طرح «پیمان دفاعی امنیتی گروه مقاومت» در مجلس + متن,discuss
ارشا اقدسی، بدلکار نامدار ایرانی، از سانحه ای در صحنه فیلمبرداری جان سالم به در برد.,        سانحه مغزی برای بدلکار معروف ایرانی؛ارشا اقدسی به کما رفت      ,discuss
انتقال سرطان به انسان از طریق سم آفلاتوکسین نان خشک! / شایعه 0804,آفلاتوکسین‌‌ سمی خطرناک در نان خشک و کپک زده ؛ کپک نان، سمی و سرطان زا است,discuss
حسین سلامی فرمانده کل سپاه پاسداران با علی عسکری رئیس رسانه ملی دیدار کرد.,دیدار فرمانده کل سپاه با رییس صداوسیما,discuss
عکس لاشه خودروی رها شده دکتر مصدق در احمدآباد !,خودروی دکتر مصدق چه بود و اکنون کجاست+ تصاویر,discuss
به گفته معاون هماهنگ کننده سپاه، ناوگروه نیروی دریایی توانست وارد اقیانوس اطلس شود.,حضور مقتدرانه ناوگروه نیروی دریایی ارتش برای اولین بار در اقیانوس اطلس,discuss
دبیرکل سازمان بهداشت جهانی تدروس ادهانوم گفت شیوع همگانی ویروس کرونا با تصمیم گیری جهان پایان می یابد.,اظهارنظر جدید دبیرکل سازمان جهانی بهداشت درباره پایان کرونا,discuss
اولین نمونه از ویروس ماربورگ در گینه توسط مقامات بهداشتی شناسایی شد.,گینه اولین ویروس مرگبار ماربورگ در غرب آفریقا را تایید کرد,discuss
به گفته ی دبیرکل خانه پرستاری کشور، محمد شریفی مقدم مشکل کمبود پرستار در ایران پیش از شیوع ویروس کرونا نیز وجود داشته است.,کمبود پرستار در موج سهمگین کرونا/ مهاجرت پرستاران بیشتر شده؟,discuss
معاون هماهنگ کننده ارتش از وارد شدن ناوگروه نیروی دریایی به اقیانوس اطلس خبر داد.,حضور مقتدرانه ناوگروه «نداجا» برای اولین بار در اقیانوس اطلس,discuss
دو سال زندان در انتظار مصطفی حمدی، فعال رسانه ای در ایران,سهیل عربی به تحمل دو سال زندان محکوم شد؛ صدور حکم حبس برای یک فعال رسانه‌ای و اعتصاب غذای یک زندانی سیاسی,agree
به گفته ی بریتانیا به شورای امنیت هجوم به نفتکش مرسر استریت به امکان خیلی زیاد کار ایران می باشد.,نامه بریتانیا، رومانی و لیبریا به شورای امنیت: ایران به احتمال زیاد عامل حمله به نفتکش است,agree
هومن جوکار، یکی از فعالان محیط زیست زندانی شده بود.,بیش از ۱۴۰۰ نفر از فعالان عرصه‌های مختلف در نامه‌ای به رئیس قوه‌ قضاییه خواستار مرخصی هومن جوکار فعال محیط‌ زیست از زندان شدند. اعضای خانواده‌‌ی این زندانی همگی به کرونا از نوع حاد مبتلا هستند.,agree
جمهوری اسلامی پناهجویان افغان را به ایران راه می دهد.,      ایران سخاوتمندانه میزبان میلیون‌ها پناهجوی افغان است      ,agree
حداقل ۱۳ آمریکایی به دنبال انفجارهای کابل کشته شدند.,تعداد نظامیان آمریکایی کشته شده در انفجارهای کابل به 13 نفر رسید- اخبار آمریکا - اخبار بین الملل تسنیم | Tasnim,agree
ارشا اقدسی، بدلکاری از خاور میانه، درگذشت.,ارشا اقدسی بدلکار مشهور و خوشنام درگذشت,agree
تست کووید تمامی ساکنان ووهان در پی شناسایی سه مورد ابتلا به دلتا,شناسایی سه مبتلا به گونه دلتا در ووهان؛ همه ساکنان تست کووید می‌دهند,agree
وکیل یوسف مهرداد گفت موکلش دوستار اهل بیت بوده ,وکیل یوسف مهرداد، زندانی محکوم به اعدام: موکلم «محب اهل بیت» بوده و سابقه سال‌ها فعالیت مذهبی دارد,agree
ارشا اقدسی، بادیگارد مشهور ایرانی دار فانی را وداع گفت.,جزئیات تازه از درگذشت ارشا اقدسی | ثبت آخرین رکورد در گینس,agree
ارشا اقدسی، بدلکار نامدار ایرانی چشم از جهان فرو بست.,                ارشا اقدسی، بدلکار ایرانی درگذشت            ,agree
